;Industri Dari Kulit;;Industri Dari Kayu;;Industri Logam Mulia dan Bahan dari Logam;;Industri Anyaman;;Industri Gerabah / Keramik / Batu;;Industri dari Kain / Tenun;;Industri Makanan dan Minuman;;Industri Lainnya;
Provinsi;2014;2018;2014;2018;2014;2018;2014;2018;2014;2018;2014;2018;2014;2018;2014;2018
ACEH;17;25;1093;1146;256;320;788;517;315;368;277;504;1648;1424;438;310
SUMATERA UTARA;59;87;919;1225;282;370;710;679;345;362;475;1004;1624;1623;613;524
SUMATERA BARAT;96;120;704;944;163;279;217;347;317;433;379;582;688;897;200;299
RIAU;16;18;825;781;165;151;301;293;304;251;207;303;611;548;168;127
JAMBI;6;7;761;720;193;139;199;194;203;154;129;188;524;443;79;111
SUMATERA SELATAN;18;19;1214;1179;248;207;585;411;487;363;448;315;1159;843;310;247
BENGKULU;7;7;511;527;96;108;239;216;165;174;105;179;579;538;110;162
LAMPUNG;22;25;1337;1432;190;253;618;550;821;714;340;572;1133;1076;244;278
KEP. BANGKA BELITUNG;1;1;268;258;84;77;131;160;188;154;41;76;275;276;22;34
KEP. RIAU;3;26;217;219;19;79;113;114;102;92;37;109;255;305;68;115
DKI JAKARTA;101;89;145;137;200;65;36;23;10;11;165;155;202;146;66;61
JAWA BARAT;530;595;3987;3965;612;557;2266;1855;1828;1553;1779;2496;4023;3637;1380;993
JAWA TENGAH;433;532;5617;6226;851;1000;2992;2430;2481;2394;3167;3800;6554;5896;2134;1690
DI YOGYAKARTA;116;176;402;416;102;187;280;282;148;224;192;279;397;400;132;197
JAWA TIMUR;709;904;5658;6325;1159;1547;2806;2828;2567;2830;1574;2777;5557;5739;1574;1590
BANTEN;220;202;871;991;139;171;602;515;500;389;455;597;1087;1076;212;227
BALI;42;75;436;561;287;341;375;414;364;302;357;419;555;594;414;330
NUSA TENGGARA BARAT;12;17;712;818;105;147;414;401;533;556;266;408;579;621;204;238
NUSA TENGGARA TIMUR;6;9;1161;1588;85;144;405;609;363;490;1121;1477;818;1050;193;196
KALIMANTAN BARAT;3;-;666;727;116;164;310;264;237;280;108;231;609;647;323;498
KALIMANTAN TENGAH;9;6;397;367;68;86;290;340;175;164;47;82;492;390;151;145
KALIMANTAN SELATAN;13;9;520;476;165;181;483;330;233;228;165;259;1006;865;299;201
KALIMANTAN TIMUR;9;13;269;298;24;48;155;196;146;155;52;147;330;402;104;97
KALIMANTAN UTARA;-;2;69;112;23;42;63;102;45;54;10;21;48;67;50;19
SULAWESI UTARA;6;6;463;478;52;59;164;128;200;187;77;143;573;650;117;110
SULAWESI TENGAH;5;14;1031;1033;158;137;490;442;305;310;108;185;817;793;225;318
SULAWESI SELATAN;19;17;1610;1760;338;388;570;614;437;488;444;713;1601;1649;490;473
SULAWESI TENGGARA;11;6;1265;1277;145;184;708;560;530;482;283;436;1352;1630;206;395
GORONTALO;2;-;409;435;33;96;230;199;242;280;120;141;472;516;79;76
SULAWESI BARAT;5;-;282;342;22;43;135;133;127;149;156;150;267;244;119;70
MALUKU;1;11;281;369;26;21;156;212;66;122;52;122;256;404;57;113
MALUKU UTARA;3;7;407;446;23;31;263;243;101;171;16;61;335;595;46;174
PAPUA BARAT;2;8;118;139;9;18;125;126;74;92;22;28;115;146;35;20
PAPUA;17;19;270;238;26;30;718;414;108;163;73;104;138;244;61;44
INDONESIA;2519;3052;34895;37955;6464;7670;18937;17141;15067;15139;13247;19063;36679;36374;10923;10482
