;Tweets;len;ID;Created;Source;Likes;RTs
0;"RT @WarungSejarahRI: Ateisme dewasa ini; potret kegagalan Manusia modern

Oleh: Ignace Lepp

Tahun 1985
190 Halaman

Harga 55.000
Minat?…";137;1579380961988710400;2022-10-10 07:58:59;Twitter for iPhone;0;2
1;Iya nggak? https://t.co/QvT8ccmxen;34;1579380792786325504;2022-10-10 07:58:19;Twitter for iPhone;1908;174
2;Selamat datang, Senin. Silakan. || 📸 @tiyanglestrek https://t.co/ZHaHWugHP0;75;1579305790804201472;2022-10-10 03:00:17;Twitter for iPhone;593;11
3;Eh, yg 2 tahun lalu katanya sedih krn gak bisa maulidan bareng krn pandemi. Sekarang, pas udah bisa, maulidan nggak?;116;1579065562310721537;2022-10-09 11:05:42;Twitter for iPhone;2066;121
4;@jek___ ((BIP)) Badan Ideologi Pancasila?;41;1579053358366629888;2022-10-09 10:17:12;Twitter for iPhone;71;0
5;@tiyanglestrek Siap.;20;1579046656929996800;2022-10-09 09:50:34;Twitter for iPhone;1;0
6;Minggu sore, ngopi di sungai yg airnya hitam di Palangkaraya. https://t.co/AaPIMc1gyX;85;1579046183858683904;2022-10-09 09:48:42;Twitter for iPhone;1664;23
7;@tiyanglestrek Dua ini. Yg digambar yg saya aja ya. https://t.co/yhJKtOnq9o;75;1579032741538312193;2022-10-09 08:55:17;Twitter for iPhone;3;0
8;@tiyanglestrek Yaudah, saya order.;34;1579031463408066562;2022-10-09 08:50:12;Twitter for iPhone;4;0
9;Minggu ngapain?;15;1579005190115852288;2022-10-09 07:05:48;Twitter for iPhone;561;13
10;"Animasi Terbaru &gt;&gt; https://t.co/1C6QXexXWx. https://t.co/5TmGqX4cYH";73;1578940366946209793;2022-10-09 02:48:13;Twitter for iPhone;224;17
11;"Saya Live Sekarang dari Palangkaraya &gt;&gt; https://t.co/yJssaaRYjr.";70;1578902223748141057;2022-10-09 00:16:39;Twitter for iPhone;96;7
12;Hari ini Maulid Nabi. Pokok apapun yg terjadi, gimana perasaan kita harus tetap dijaga agar tak ada suatu kesedihan… https://t.co/DJiL632xiE;140;1578628559215955969;2022-10-08 06:09:12;Twitter for iPhone;4334;842
13;Sudah ngopi? https://t.co/R523T4CYV7;36;1578582679196291072;2022-10-08 03:06:54;Twitter for iPhone;1203;27
14;Maulid Nabi Muhammad Saw.;25;1578551141847035904;2022-10-08 01:01:34;Twitter for iPhone;8909;1250
15;"RT @WarungSejarahRI: Paket buku

1. Syekh Siti Jenar; Makna ""Kematian""
Oleh; Achmad Chodjim.

2. Syekh Siti Jenar; Pergumulan Islam-Jawa. O…";140;1578546463138664448;2022-10-08 00:42:59;Twitter for iPhone;0;4
16;"RT @WarungSejarahRI: Paket buku Tafsir Qur'an

Tafsir Adz-dzikra
Tafsir Yusuf Ali
Tafsir Fi Zhilalil Quran

22 buku.
Hardcover
Berat 20 kg…";139;1578546074611945473;2022-10-08 00:41:26;Twitter for iPhone;0;3
17;"RT @WarungSejarahRI: Buku Lawas&gt; Cerita Dari Digul. 

Penyunting Pramoedya Ananta Toer. 

Tahun 2004. 
314 halaman. 

Harga 200.000.
Minat?…";143;1578538510562140160;2022-10-08 00:11:23;Twitter for iPhone;0;4
18;RT @Husen_Jafar: Kalau kamu, apa pesannya jika bisa chat Nabi Muhammad? https://t.co/fQdIn54K3Y;95;1578430635026182144;2022-10-07 17:02:43;Twitter for iPhone;0;837
19;Kalau kamu, apa pesannya jika bisa chat Nabi Muhammad? https://t.co/fQdIn54K3Y;78;1578368156086677505;2022-10-07 12:54:27;Twitter for iPhone;4329;837
20;"Video Baru Tentang Maulid Nabi: “Kenapa Nabi Muhammad Manusia Biasa?” &gt;&gt; https://t.co/W9ehNNuk18. https://t.co/0OOyDySFwh";127;1578340505556905984;2022-10-07 11:04:35;Twitter for iPhone;183;20
21;"Podcast Terbaru: “KDRT &amp; Selingkuh” &gt;&gt; https://t.co/OZxLN4GOfY. https://t.co/CjMcAQ03NT";97;1578304496693698560;2022-10-07 08:41:30;Twitter for iPhone;173;18
22;RT @Husen_Jafar: Jodoh 404 Not Found! https://t.co/ts6kAzlE0e;61;1578298113512480773;2022-10-07 08:16:08;Twitter for iPhone;0;393
